"author","coauthors"
"Marco Sperduti","Stephane Lemaire"
"Marco Sperduti","Eric Bertasi"
"Marco Sperduti","Aymeric Guillot"
"Marco Sperduti","Marion Leboyer"
"Marco Sperduti","Kouloud Abichou"
"Marco Sperduti","François Vialatte"
"Marco Sperduti","Giuseppina Porciello"
"Marco Sperduti","Laurie Compère"
"Marco Sperduti","Bufalari Ilaria"
"Marco Sperduti","Catherine Tallon-Baudry"
"Marco Sperduti","Allan Armougum"
"Marco Sperduti","Jean-Charles Girardeau"
"Gaën Plancher","Pascale Piolino"
"Alessandro Guida","Serge Nicolas"
"Alessandro Guida","Fernand Gobet"
"Alessandro Guida","Yvonnick Noel"
"Alessandro Guida","Fabien Mathy"
"Alessandro Guida","Nicolas Gauvrit"
"Alessandro Guida","Jean-Philippe Van Dijck"
"Alessandro Guida","Valerie Camos"
"Alessandro Guida","Pierre Barrouillet"
"Alessandro Guida","Mustapha Chekaf"
"Alessandro Guida","Gaën Plancher"
"Alessandro Guida","Guillermo Campitelli"
"Alessandro Guida","Benoit Lemaire"
"Alessandro Guida","Thierry Phenix"
"Alessandro Guida","Ahmed M. Megreya"
"Alessandro Guida","Jeremy T. Burman"
"Alessandro Guida","Fernando Soler-Toscano"
"Alessandro Guida","Dezso Nemeth"
"Alessandro Guida","Attila Krajcsi"
"Alessandro Guida","Márton Miháltz"
"Alessandro Guida","Ori Friedman"
"Yannick Gounden","Serge Nicolas"
"Yannick Gounden","Véronique Quaglino"
"Yannick Gounden","Mathieu Hainselin"
"Yannick Gounden","Geoffrey Blondelle"
"Yannick Gounden","Henry L. Roediger"
"Ludovic Ferrand","Jonathan Grainger"
"Ludovic Ferrand","Boris New"
"Ludovic Ferrand","Maria Augustinova"
"Ludovic Ferrand","Juan Segui"
"Ludovic Ferrand","Bonin"
"Ludovic Ferrand","Christophe Pallier"
"Ludovic Ferrand","F.-Xavier Alario"
"Ludovic Ferrand","Marc Brysbaert"
"Ludovic Ferrand","Johannes Ziegler"
"Ludovic Ferrand","Serge Nicolas"
"Ludovic Ferrand","Martial Mermillod"
"Ludovic Ferrand","Arthur M Jacobs"
"Ludovic Ferrand","Glyn W. Humphreys"
"Ludovic Ferrand","Manuel Perea"
"Ludovic Ferrand","Manuel Carreiras"
"Ludovic Ferrand","Kathleen Rastle"
"Ludovic Ferrand","Emmanuel Keuleers"
"Ludovic Ferrand","Kevin J Riggs"
"Ludovic Ferrand","Stephane Dufau"
"Ludovic Ferrand","Jon Andoni Duñabeitia"
"Fernand Gobet","Julian Pine"
"Fernand Gobet","Guillermo Campitelli"
"Fernand Gobet","Daniel Freudenthal"
"Fernand Gobet","Giovanni Sala"
"Fernand Gobet","Gary Jones"
"Fernand Gobet","Herbert A Simon"
"Fernand Gobet","Peter C-H. Cheng"
"Fernand Gobet","Merim Bilalic"
"Fernand Gobet","Steve Croker"
"Fernand Gobet","David Z. Hambrick"
"Fernand Gobet","Adriaan De Groot (Deceased)"
"Fernand Gobet","Alessandro Guida"
"Fernand Gobet","Erik Altmann"
"Fernand Gobet","Martyn Lloyd-Kelly"
"Fernand Gobet","Serge Nicolas"
"Fernand Gobet","Semir Tatlidil"
"Fernand Gobet","Neil Charness"
"Fernand Gobet","Yvan I. Russell"
"Fernand Gobet","Brooke Macnamara"
"Fernand Gobet","Nigel Shadbolt"
"Jeremy T. Burman","Christopher D. Green"
"Jeremy T. Burman","Serge Nicolas"
"Jeremy T. Burman","Alessandro Guida"
"Jeremy T. Burman","Ulrich Müller"
"Jeremy T. Burman","Jovan Byford"
"Jeremy T. Burman","Cristian Tileaga"
"Jeremy T. Burman","Ivan Flis"
"Jeremy T. Burman","Jacy L. Young"
"Jeremy T. Burman","Jennifer L. Bazar"
"Jeremy T. Burman","Wade E, Pickren"
"Thérèse Collins","Patrick Cavanagh"
"Thérèse Collins","Mark Wexler"
"Thérèse Collins","Martin Rolfs"
"Thérèse Collins","Tobias Heed"
"Thérèse Collins","Heiner Deubel"
"Thérèse Collins","Céline Paeye"
"Thérèse Collins","Matteo Lisi"
"Thérèse Collins","J. Kevin O'regan"
"Henry L. Roediger","Kathleen B. Mcdermott"
"Henry L. Roediger","Jeffrey D. Karpicke"
"Henry L. Roediger","Andrew C. Butler"
"Henry L. Roediger","David A. Gallo"
"Henry L. Roediger","Elizabeth J. Marsh"
"Henry L. Roediger","Pooja K. Agarwal, Ph.d."
"Henry L. Roediger","Franklin Zaromb"
"Henry L. Roediger","Adam Putnam"
"Henry L. Roediger","Kavitha Srinivas"
"Henry L. Roediger","Suparna Rajaram"
"Henry L. Roediger","K. Andrew Desoto"
"Henry L. Roediger","J. P. Rushton"
"Henry L. Roediger","Sean Kang"
"Henry L. Roediger","Yana Weinstein-Jones"
"Henry L. Roediger","Mary Pyc"
"Henry L. Roediger","James H. Neely"
"Henry L. Roediger","Bridgid Finn"
"Henry L. Roediger","David Z. Hambrick"
"Henry L. Roediger","Diane Halpern"
"Henry L. Roediger","Melissa J. Guynn"
"Guy Tiberghien","Jean-Yves Baudouin"
"Guy Tiberghien","Nicolas Franck"
"Guy Tiberghien","Rémy Versace"
"Guy Tiberghien","Daniel Gilibert,  S-1069-2016"
"Guy Tiberghien","Benoit Bediou"
"Guy Tiberghien","Caroline Huron"
"Guy Tiberghien","Clara Martin"
"Guy Tiberghien","Hervé Abdi"
"Guy Tiberghien","Serge Nicolas"
"Guy Tiberghien","Evelyne Clément"
"Guy Tiberghien","Valérian Chambon"
"Guy Tiberghien","Stéphane Rousset"
"Guy Tiberghien","Guy Denhiere"
"Guy Tiberghien","Maryse Bianco"
"Guy Tiberghien","Romy Sauvayre"
"Guy Tiberghien","Martial Van Der Linden"
"Dalibor Voboril","Martin Jelínek"
"Dalibor Voboril","Petr Kveton"
"Dalibor Voboril","Marek Blatny"
"Dalibor Voboril","Helena Klimusová"
"Dalibor Voboril","Simona Hoskovcová"
"Dalibor Voboril","Tomas Urbanek"
"Dalibor Voboril","Ivo Cermák"
"Andrea Bosco","Giulio Lancioni"
"Andrea Bosco","Mark O'reilly"
"Andrea Bosco","Alessandro Oronzo Caffò"
"Andrea Bosco","Maria A. Brandimonte"
"Andrea Bosco","Jop Groeneweg"
"Andrea Bosco","Emanuele Coluccia"
"Andrea Bosco","Marina De Tommaso"
"Andrea Bosco","Teresa Gloria Scalisi"
"Andrea Bosco","Amelia Manuti"
"Andrea Bosco","Samuele Filomena"
"Andrea Bosco","Jonathan Schooler"
"Andrea Bosco","Giuseppe Riva"
"Andrea Bosco","Silvia Serino"
"Andrea Bosco","Pietro Cipresso"
"Andrea Bosco","Serge Nicolas"
"Andrea Bosco","Pascale Piolino"
"Andrea Bosco","Russell Lang"
"Andrea Bosco","Giuseppe Curcio"
"Andrea Bosco","Alessandro Taurino"
"Christine Passerieux","Eric Brunet-Gouet"
"Christine Passerieux","Marion Leboyer"
"Christine Passerieux","Paul Roux"
"Christine Passerieux","Bruno Etain"
"Christine Passerieux","Galina Iakimova"
"Christine Passerieux","Chrystel Besche-Richard, Full Professor"
"Christine Passerieux","Delphine Capdevielle"
"Christine Passerieux","Fabrice Berna"
"Christine Passerieux","Guillaume Fond"
"Christine Passerieux","Pm Llorca"
"Christine Passerieux","Emilie Olie"
"Christine Passerieux","Belzeaux Raoul"
"Christine Passerieux","Juan Segui"
"Christine Passerieux","Franck Ramus"
"Christine Passerieux","Ali Oker"
"Christine Passerieux","Bruno Falissard"
"Christine Passerieux","Jean-Claude Martin"
"Christine Passerieux","Matthieu Courgeon"
"Christine Passerieux","Anne Christophe"
